concept_id,concept_name,patient_count
4103977,Finding of dentition,23874
4203096,Lung mass,23810
134736,Backache,23772
435742,Disease caused by Gram-negative bacteria,23770
444209,Neoplasm of skin,23761
4130532,Neoplasm of uterine adnexa,23730
4251304,Intervertebral disc prolapse,23702
4116650,Lesion of nose,23635
24818,Injury of neck,23619
4170138,Chronic disease of tonsil,23534
23220,Chronic tonsillitis,23534
1075457,Malignant neoplasm of upper gastrointestinal tract,23515
4058494,Superficial injuries involving multiple body regions,23473
141411,Scalp injury,23289
4047650,Neoplasm of ovary,23209
4124645,Lump of cervix,23163
4201402,Inflammation of large intestine,23156
4248028,Supraventricular arrhythmia,23116
4080849,Eyelid finding,23017
136937,Benign neoplasm of endocrine gland,22996
4182969,Finding of sensation of skin,22977
4281232,Type B viral hepatitis,22971
197324,Disorder of peritoneum,22947
4011508,Fracture of skull and facial bones,22932
4134314,Fracture of multiple bones of face,22932
608005,Injury of back of trunk,22844
37162002,Steatosis,22832
4059290,Steatosis of liver,22832
4154630,Malignant neoplasm of genitourinary organ,22830
196456,Gallstone,22812
4193464,Finding of finger,22770
441830,Disorder of fluid AND/OR electrolyte,22755
376125,Disorder of eyelid,22741
40486024,Cyst of abdomen,22670
36713581,Calculus of upper urinary tract,22596
201916,Ureteric stone,22596
4128083,Nonspecific abdominal pain,22538
4113563,Finding of defecation,22451
4338120,Altered bowel function,22451
440631,Mycobacteriosis,22381
4119777,Ectactic vein,22329
312349,Venous varices,22328
80180,Osteoarthritis,22230
